 0.000 (    0): OscilloscopeTrigger[15](true,true)
 0.000 (    0): SwitchMOTCoil[4](false,false)
 0.000 (    0): SetMOTVoltage[1](0.0000,0.0000)
 0.000 (    0): SetMOTCurrent[2](0.0000,0.0000)
 0.000 (    0): SetIntensityLiMOTDPAOM[2](0.0000,0)
 0.000 (    0): SetIntensityLiZSSPAOM[3](0.0000,0)
 0.000 (    0): SetIntensitySrMOTDPAOM[22](0.0000,0)
 0.000 (    0): SetIntensityKMOTZSSplitSPAOM[17](0.0000,0)
 0.000 (    0): SetIntensityKLaser1DPAOM[9](0.0000,0)
 0.000 (    0): SetIntensityKLaser2DPAOM[10](0.0000,0)
100.000 (    0): SetMOTVoltage[1](4.0000,1.3333)
100.000 (    0): SetMOTCurrent[2](12.0000,0.3000)
100.000 (    0): SetIntensityLiMOTDPAOM[2](100.0000,4032)
100.000 (    0): SetIntensityLiZSSPAOM[3](100.0000,4032)
100.000 (    0): SetIntensitySrMOTDPAOM[22](100.0000,4032)
100.000 (    0): SetIntensityKMOTZSSplitSPAOM[17](60.0000,3123)
100.000 (    0): SetIntensityKLaser1DPAOM[9](100.0000,4032)
100.000 (    0): SetIntensityKLaser2DPAOM[10](100.0000,4032)
5100.000 ( 1010): SetIntensityLiImagingDPAOM[4](0.0000,0)
5100.000 ( 1010): SetIntensityLiImagingSPAOM[5](0.0000,0)
5100.000 ( 1010): SetIntensitySrImagingDPAOM[19](0.0000,0)
5100.000 ( 1010): SetIntensitySrImagingSPAOM[18](0.0000,0)
5100.000 ( 1010): SetIntensityKImagingDPAOM[12](0.0000,0)
5100.000 ( 1010): SetIntensityKImagingSPAOM[13](0.0000,0)
5100.000 ( 1010): SetIntensityKOpPumpSPAOM[15](0.0000,0)
5100.000 ( 1010): SwitchTestDigitalOut0[99](true,true)
5100.000 ( 1010): SetIntensityLiImagingDPAOM[4](0.0000,0)
5100.000 ( 1010): SetIntensityLiImagingSPAOM[5](0.0000,0)
5100.000 ( 1010): SetIntensitySrImagingDPAOM[19](0.0000,0)
5100.000 ( 1010): SetIntensitySrImagingSPAOM[18](0.0000,0)
5100.000 ( 1010): SetIntensityKImagingDPAOM[12](0.0000,0)
5100.000 ( 1010): SetIntensityKImagingSPAOM[13](0.0000,0)
5100.000 ( 1010): SetIntensityKOpPumpSPAOM[15](0.0000,0)
5100.000 ( 1010): Waveform(AnalogOut(4) SetFirstZSCurrent StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 ( 1010): Waveform(AnalogOut(6) SetSecondZSHighCurrentCurrent StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 ( 1010): Waveform(AnalogOut(8) SetSecondZSLowCurrentCurrent StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 ( 1010): Waveform(AnalogOut(10) SetCompensationCurrent StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 ( 1010): Waveform(AnalogOut(10007) SetIntensityLiZSSPAOM StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 ( 1010): Waveform(AnalogOut(10043) SetIntensitySrZSSPAOM StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 ( 1010): Waveform(AnalogOut(10023) SetIntensityKZSSPAOM StartTime:5100.000 DeltaTime:1.000 Group:1 : Ramp Start:1.#IO Stop:0.000 Duration:0.000)
5100.000 (    0): WaitTillEndOfWaveformGroup(1)
5100.000 (    0): SetFirstZSVoltagee[3](0.0000,0.0000)
5100.000 (    0): SetSecondZSHighCurrentVoltage[5](0.0000,0.0000)
5100.000 (    0): SetSecondZSLowCurrentVoltage[7](0.0000,0.0000)
5100.000 (    0): SetCompensationVoltage[9](0.0000,0.0000)
5100.000 (    0): SwitchTestDigitalOut0[99](false,false)
