Address A0 A1 A2 A3 A4 A5 A6 A7
0 00000000 . . . . . . . .
1 10000000 . . . . . . . .
2 01000000 . . . . . . . .
3 11000000 . . . . . . . .
4 00100000 . . . . . . . .
5 10100000 . . . . . . . .
6 01100000 . . . . . . . .
7 11100000 . . . . . . . .
8 00010000 . . . . . . . .
9 10010000 . . . . . . . .
10 01010000 . . . . . . . .
11 11010000 . . . . . . . .
12 00110000 . . . . . . . .
13 10110000 . . . . . . . .
14 01110000 . . . . . . . .
15 11110000 . . . . . . . .
16 00001000 . . . . . . . .
17 10001000 . . . . . . . .
18 01001000 . . . . . . . .
19 11001000 . . . . . . . .
20 00101000 . . . . . . . .
21 10101000 . . . . . . . .
22 01101000 . . . . . . . .
23 11101000 . . . . . . . .
24 00011000 . . . . . . . .
25 10011000 . . . . . . . .
26 01011000 . . . . . . . .
27 11011000 . . . . . . . .
28 00111000 . . . . . . . .
29 10111000 . . . . . . . .
30 01111000 . . . . . . . .
31 11111000 . . . . . . . .
32 00000100 . . . . . . . .
