Voltage A0 A1 A2 A3 A4 A5 A6 A7
-10.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-8.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-7.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-6.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-5.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-4.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
